Model,Accuracy,AUC,Recall,Prec.,F1,LogLoss,Tact,imputation_type,fix_imbalance,fix_imbalance_method,remove_outliers,outliers_threshold,normalize,normalize_method,transformation,transformation_method,feature_interaction,polynomial_features,combine_rare_levels,create_clusters,feature_selection,feature_selection_threshold,remove_multicollinearity,multicollinearity_threshold,pca,pca_method,pca_components,ignore_low_variance,seed,n_folds,n_iter,n_top,metric,models,Mode
base,0.8472,0.9332,0.6866,0.8466,0.7582,0.3676,0:00:35,simple,False,smote,False,0.05,False,zscore,False,yeo-johnson,False,False,False,False,False,0.8,False,0.9,False,linear,0.99,False,111,10,10,3,LogLoss,"rf, gbc, et",Train
base,0.776,0.8414,0.6418,0.6935,0.6667,0.469,0:00:35,simple,False,smote,False,0.05,False,zscore,False,yeo-johnson,False,False,False,False,False,0.8,False,0.9,False,linear,0.99,False,111,10,10,3,LogLoss,"rf, gbc, et",Test
base,0.8455,0.9333,0.6866,0.8415,0.7562,0.3673,0:00:36,simple,False,smote,False,0.05,True,robust,False,yeo-johnson,False,False,False,False,False,0.8,False,0.9,False,linear,0.99,False,111,10,10,3,LogLoss,"rf, gbc, et",Train
base,0.776,0.8408,0.6269,0.7,0.6614,0.4694,0:00:36,simple,False,smote,False,0.05,True,robust,False,yeo-johnson,False,False,False,False,False,0.8,False,0.9,False,linear,0.99,False,111,10,10,3,LogLoss,"rf, gbc, et",Test
base,0.8455,0.9333,0.6866,0.8415,0.7562,0.3673,0:00:36,simple,False,smote,False,0.05,True,robust,False,yeo-johnson,False,False,False,False,False,0.8,False,0.9,False,linear,0.99,False,111,10,10,3,LogLoss,"rf, gbc, et",Train
base,0.776,0.8408,0.6269,0.7,0.6614,0.4694,0:00:36,simple,False,smote,False,0.05,True,robust,False,yeo-johnson,False,False,False,False,False,0.8,False,0.9,False,linear,0.99,False,111,10,10,3,LogLoss,"rf, gbc, et",Test
base,0.8559,0.9382,0.6965,0.8642,0.7713,0.3861,0:00:36,simple,False,smote,False,0.05,True,robust,False,yeo-johnson,False,False,False,False,False,0.8,False,0.9,True,linear,0.99,False,111,10,10,3,LogLoss,"rf, gbc, et",Train
base,0.7708,0.7961,0.5672,0.717,0.6333,0.5135,0:00:36,simple,False,smote,False,0.05,True,robust,False,yeo-johnson,False,False,False,False,False,0.8,False,0.9,True,linear,0.99,False,111,10,10,3,LogLoss,"rf, gbc, et",Test
base,0.8455,0.9348,0.6915,0.8373,0.7575,0.3654,0:00:36,simple,False,smote,False,0.05,True,robust,True,yeo-johnson,False,False,False,False,False,0.8,False,0.9,False,linear,0.99,False,111,10,10,3,LogLoss,"rf, gbc, et",Train
base,0.7812,0.8392,0.6269,0.7119,0.6667,0.4697,0:00:36,simple,False,smote,False,0.05,True,robust,True,yeo-johnson,False,False,False,False,False,0.8,False,0.9,False,linear,0.99,False,111,10,10,3,LogLoss,"rf, gbc, et",Test
base,0.9514,0.9947,0.8905,0.9676,0.9275,0.2608,0:00:37,simple,False,smote,False,0.05,True,robust,True,yeo-johnson,False,False,False,False,False,0.8,False,0.9,True,linear,0.99,False,111,10,10,3,LogLoss,"rf, gbc, et",Train
base,0.7708,0.8247,0.6567,0.6769,0.6667,0.486,0:00:37,simple,False,smote,False,0.05,True,robust,True,yeo-johnson,False,False,False,False,False,0.8,False,0.9,True,linear,0.99,False,111,10,10,3,LogLoss,"rf, gbc, et",Test
base,0.8524,0.9365,0.8259,0.7685,0.7962,0.36,0:00:36,simple,True,smote,False,0.05,True,robust,False,yeo-johnson,False,False,False,False,False,0.8,False,0.9,False,linear,0.99,False,111,10,10,3,LogLoss,"rf, gbc, et",Train
base,0.75,0.8304,0.7313,0.6203,0.6712,0.4971,0:00:36,simple,True,smote,False,0.05,True,robust,False,yeo-johnson,False,False,False,False,False,0.8,False,0.9,False,linear,0.99,False,111,10,10,3,LogLoss,"rf, gbc, et",Test
base,0.9306,0.9823,0.8955,0.9045,0.9,0.2805,0:00:42,simple,True,smote,False,0.05,True,robust,False,yeo-johnson,False,False,False,False,False,0.8,False,0.9,True,linear,0.99,False,111,10,10,3,LogLoss,"rf, gbc, et",Train
base,0.7292,0.8051,0.6716,0.6,0.6338,0.5113,0:00:42,simple,True,smote,False,0.05,True,robust,False,yeo-johnson,False,False,False,False,False,0.8,False,0.9,True,linear,0.99,False,111,10,10,3,LogLoss,"rf, gbc, et",Test
base,1.0,1.0,1.0,1.0,1.0,0.1274,0:00:40,simple,True,smote,False,0.05,True,robust,True,yeo-johnson,False,False,False,False,False,0.8,False,0.9,False,linear,0.99,False,111,10,10,3,LogLoss,"rf, gbc, et",Train
base,0.724,0.8181,0.6866,0.5897,0.6345,0.4908,0:00:40,simple,True,smote,False,0.05,True,robust,True,yeo-johnson,False,False,False,False,False,0.8,False,0.9,False,linear,0.99,False,111,10,10,3,LogLoss,"rf, gbc, et",Test
base,0.9722,0.9972,0.9701,0.9512,0.9606,0.2274,0:00:37,simple,True,smote,False,0.05,True,robust,True,yeo-johnson,False,False,False,False,False,0.8,False,0.9,True,linear,0.99,False,111,10,10,3,LogLoss,"rf, gbc, et",Train
base,0.7552,0.8143,0.7164,0.6316,0.6713,0.5139,0:00:37,simple,True,smote,False,0.05,True,robust,True,yeo-johnson,False,False,False,False,False,0.8,False,0.9,True,linear,0.99,False,111,10,10,3,LogLoss,"rf, gbc, et",Test
